ime,pozicija,starost
Richaun Holmes,C,25
Rodney Hood,SG,26
Al Horford,C,32
Danuel House,SF,25
Dwight Howard,C,33
Kevin Huerter,SG,20
Isaac Humphries,C,21
R.J. Hunter,SG,25
Chandler Hutchison,SF,22
Serge Ibaka,C,29
Andre Iguodala,SF,35
Ersan Ilyasova,PF,31
Joe Ingles,PF,31
Andre Ingram,SG,33
Brandon Ingram,SF,21
Kyrie Irving,PG,26
Jonathan Isaac,PF,21
Wesley Iwundu,SF,24
Demetrius Jackson,PG,24
Frank Jackson,PG,20
Jaren Jackson,PF,19
Josh Jackson,SG,21
Justin Jackson,SF,23
Reggie Jackson,PG,28
LeBron James,SF,34
Amile Jefferson,PF,25
John Jenkins,SG,27
Jonas Jerebko,PF,31
Alize Johnson,PF,22
Amir Johnson,C,31
B.J. Johnson,SF,23
James Johnson,PF,31
Stanley Johnson,SF,22
Tyler Johnson,PG,26
Wesley Johnson,SF,31
Nikola Jokic,C,23
Damian Jones,C,23
Derrick Jones,SF,21
Jalen Jones,SF,25
Jemerrio Jones,SF,23
Terrence Jones,PF,27
Tyus Jones,PG,22
DeAndre Jordan,C,30
Cory Joseph,PG,27
Frank Kaminsky,C,25
Enes Kanter,C,26
Luke Kennard,SG,22
Michael Kidd-Gilchrist,PF,25
George King,SF,25
Maxi Kleber,PF,27
Brandon Knight,PG,27
Kevin Knox,PF,19
Furkan Korkmaz,SG,21
Luke Kornet,PF,23
Kyle Korver,SG-PF,37
Kosta Koufos,C,29
Rodions Kurucs,SF,20
Kyle Kuzma,PF,23
Skal Labissiere,PF,22
Jeremy Lamb,SG,26
Zach LaVine,SG,23
Jake Layman,SF,24
T.J. Leaf,PF,21
Courtney Lee,SG,33
Damion Lee,SG,26
Walt Lemon,PG,26
Alex Len,C,25
Kawhi Leonard,SF,27
Meyers Leonard,C,26
Jon Leuer,PF,29
Caris LeVert,SF,24
Damian Lillard,PG,28
Jeremy Lin,PG,30
Shaun Livingston,PG,33
Zach Lofton,SG,26
Kevon Looney,C,22
Brook Lopez,C,30
Robin Lopez,C,30
Kevin Love,PF,30
Kyle Lowry,PG,32
Jordan Loyd,PG,25
Kalin Lucas,PG,29
Timothe Luwawu-Cabarrot,SF,23
Tyler Lydon,PF,22
Trey Lyles,PF,23
Scott Machado,PG,28
Shelvin Mack,PG,28
Daryl Macon,SG,23
J.P. Macura,SG,23
Ian Mahinmi,C,32
Thon Maker,C-PF,21
Boban Marjanovic,C,30
Lauri Markkanen,PF,21
Jarell Martin,PF,24
Frank Mason,PG,24
Yante Maten,PF,22
Wesley Matthews,SF-SG,32
Luc Mbah a Moute,PF,32
Tahjere McCall,SG,24
Patrick McCaw,SG,23
CJ McCollum,SG,27
T.J. McConnell,PG,26
Doug McDermott,SF,27
JaVale McGee,C,31
Rodney McGruder,SG,27
Alfonzo McKinnie,SF,26
Ben McLemore,SG,25
Jordan McRae,SG,27
Jodie Meeks,SG,31
Salah Mejri,C,32
De'Anthony Melton,PG,20
Chimezie Metu,PF,21
Khris Middleton,SF,27
C.J. Miles,SF,31
Darius Miller,SF,28
Malcolm Miller,SF,25
Patty Mills,PG,30
Paul Millsap,PF,33
Shake Milton,SG,22
Nikola Mirotic,PF,27
Donovan Mitchell,SG,22
Naz Mitrou-Long,SG,25
Malik Monk,SG,20
Greg Monroe,C,28
E'Twaun Moore,SG,29
Eric Moreland,PF,27
Jaylen Morris,SG,23
Marcus Morris,PF,29
Markieff Morris,PF,29
Monte Morris,PG,23
Donatas Motiejunas,PF,28
Johnathan Motley,PF,23
Emmanuel Mudiay,PG,22
Jamal Murray,PG,21
Dzanan Musa,SG,19
Mike Muscala,PF,27
Sviatoslav Mykhailiuk,SF,21
Abdel Nader,SF,25
Larry Nance,C,26
Shabazz Napier,PG,27
Raul Neto,PG,26
Georges Niang,PF,25
Joakim Noah,C,33
Nerlens Noel,C,24
Dirk Nowitzki,PF,40
Frank Ntilikina,PG,20
James Nunnally,SF,28
Jusuf Nurkic,C,24
David Nwaba,SG,26
Royce O'Neale,SF,25
Kyle O'Quinn,C,28
Semi Ojeleye,PF,24
Jahlil Okafor,C,23
Elie Okobo,PG,21
Josh Okogie,SG,20
Victor Oladipo,SG,26
Kelly Olynyk,PF,27
Cedi Osman,SF,23
Kelly Oubre,SF,23
Zaza Pachulia,C,34
Jabari Parker,PF,23
Tony Parker,PG,36
Chandler Parsons,SF,30
Patrick Patterson,PF,29
Justin Patton,C,21
Chris Paul,PG,33
Cameron Payne,PG,24
Elfrid Payton,PG,24
Gary Payton,PG,26
Theo Pinson,SG,23
Mason Plumlee,C,28
Miles Plumlee,C,30
Jakob Poeltl,C,23
Quincy Pondexter,SF,30
Otto Porter,SF,25
Bobby Portis,PF,23
Dwight Powell,C,27
Norman Powell,SG,25
Alex Poythress,PF,25
Zhou Qi,PF,23
Ivan Rabb,PF,21
Chasson Randle,PG,25
Julius Randle,PF,24
J.J. Redick,SG,34
Davon Reed,SG,23
Cameron Reynolds,SG,23
Josh Richardson,SG,25
Malachi Richardson,SG,23
Austin Rivers,SG,26
Devin Robinson,SF,23
Duncan Robinson,PF,24
Glenn Robinson,SF,25
Jerome Robinson,SG,21
Mitchell Robinson,C,20
Rajon Rondo,PG,32
Derrick Rose,PG,30
Terrence Ross,SG,27
Terry Rozier,PG,24
Ricky Rubio,PG,28
D'Angelo Russell,PG,22
Domantas Sabonis,C,22
Brandon Sampson,SG,21
JaKarr Sampson,SF,25
Dario Saric,PF,24
Tomas Satoransky,PG,27
Dennis Schroder,PG,25
Mike Scott,PF,30
Thabo Sefolosha,SF,34
Wayne Selden,SG,24
Collin Sexton,PG,20
Landry Shamet,SG,21
Iman Shumpert,SG,28
Pascal Siakam,PF,24
Jordan Sibert,SG,26
Ben Simmons,PG,22
Jonathon Simmons,SG-SF,29
Kobi Simmons,PG,21
Anfernee Simons,SG,19
Marcus Smart,SG,24
Dennis Smith,PG,21
Ish Smith,PG,30
J.R. Smith,SG,33
Jason Smith,PF-C,32
Zhaire Smith,SG,19
Tony Snell,SF,27
Ray Spalding,PF,21
Omari Spellman,PF,21
Nik Stauskas,SG,25
D.J. Stephens,SG,28
Lance Stephenson,SG,28
Edmond Sumner,PG,23
Caleb Swanigan,PF,21
Jayson Tatum,SF,20
Jeff Teague,PG,30
Garrett Temple,SG,32
Milos Teodosic,PG,31
Jared Terrell,SG,23
Emanuel Terry,PF,22
Daniel Theis,C,26
Isaiah Thomas,SG,29
Khyri Thomas,SG,22
Lance Thomas,PF,30
Klay Thompson,SG,28
Tristan Thompson,C,27
Sindarius Thornwell,SG,24
Anthony Tolliver,PF,33
Karl-Anthony Towns,C,23
Gary Trent,SG,20
Allonzo Trier,SG,23
P.J. Tucker,PF,33
Evan Turner,PG,30
Myles Turner,C,22
Ekpe Udoh,C,31
Tyler Ulis,PG,23
Jonas Valanciunas,C,26
Jarred Vanderbilt,PF,19
Fred VanVleet,PG,24
Noah Vonleh,PF,23
Nikola Vucevic,C,28
Dwyane Wade,SG,37
Moritz Wagner,C,21
Dion Waiters,SG,27
Kemba Walker,PG,28
Lonnie Walker,SG,20
John Wall,PG,28
Tyrone Wallace,PG,24
Taurean Waller-Prince,SF,24
Brad Wanamaker,PG,29
T.J. Warren,SF,25
Julian Washburn,SF,27
Yuta Watanabe,SF,24
Thomas Welsh,C,22
Russell Westbrook,PG,30
Derrick White,PG,24
Okaro White,PF,26
Hassan Whiteside,C,29
Andrew Wiggins,SF,23
Alan Williams,PF,26
C.J. Williams,SG,28
Johnathan Williams,C,23
Kenrich Williams,SF,24
Lou Williams,SG,32
Marvin Williams,PF,32
Robert Williams,C,21
Troy Williams,SF,24
D.J. Wilson,PF,22
Justise Winslow,SF,22
Christian Wood,PF,23
Delon Wright,PG,26
Guerschon Yabusele,PF,23
Nick Young,SG,33
Thaddeus Young,PF,30
Trae Young,PG,20
Cody Zeller,C,26
Tyler Zeller,C,29
Ante Zizic,C,22
Ivica Zubac,C,21
